Host Id,Host Since,mes,anio,Name,Neighbourhood,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating,AA,AB,AC,AD,AE,AF,AG,cant
5162530,,,,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,,Entire home/apt,11249,1,1,0,145,,,,,,,,,1
33134899,,,,Sunny, Private room in Bushwick,Brooklyn,Apartment,,Private room,11206,1,1,1,37,,,,,,,,1
39608626,,,,Sunny Room in Harlem,Manhattan,Apartment,,Private room,10032,1,1,1,28,,,,,,,,,1
500,26/06/2008,6,2008,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,,Entire home/apt,10024,3,1,0,199,,,,,,,,,1
500,26/06/2008,6,2008,Trendy Times Square Loft,Manhattan,Apartment,95,Private room,10036,3,1,39,549,96,,,,,,,,1
1039,25/07/2008,7,2008,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,4,149,100,,,,,,,,1
1783,12/08/2008,8,2008,Amazing Also,Manhattan,Apartment,100,Entire home/apt,10004,1,1,9,250,100,,,,,,,,1
2078,15/08/2008,8,2008,Colorful, quiet, & near the subway!,Brooklyn,Apartment,90,Private room,11201,1,1,80,90,94,,,,,,1
2339,20/08/2008,8,2008,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90,Entire home/apt,10009,2,1,95,270,90,,,,,,,,1
2339,20/08/2008,8,2008,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95,Entire home/apt,10009,2,1,23,290,96,,,,,,,,1
2571,27/08/2008,8,2008,THE PUTNAM,Brooklyn,Apartment,95,Entire home/apt,11221,2,1,14,170,98,,,,,,,,1
2758,06/09/2008,9,2008,Stay at Chez Chic budget room #1,Manhattan,Apartment,90,Private room,10026,2,1,120,59,93,,,,,,,,1
2758,06/09/2008,9,2008,Stay at Chez Chic budget Room #2,Manhattan,Apartment,90,Private room,10026,2,1,81,49,91,,,,,,,,1
2787,07/09/2008,9,2008,Renovated and spacious townhome,Brooklyn,House,,Private room,11223,1,1,0,68,,,,,,,,,1
2845,09/09/2008,9,2008,Midtown Castle,Manhattan,Apartment,95,Entire home/apt,10018,1,1,17,285,97,,,,,,,,1
2881,10/09/2008,9,2008,Newly renovated historic brownstone,Brooklyn,Apartment,95,Private room,11216,1,1,32,75,95,,,,,,,,1
2965,14/09/2008,9,2008,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95,Private room,10025,1,1,52,145,99,,,,,,,,1
3211,25/09/2008,9,2008,Elegant NYC, 10mins to Manhattan!,Queens,Apartment,90,Private room,11106,1,1,3,100,93,,,,,,,1
3227,26/09/2008,9,2008,Priv Apt,Garden,BBQ,A/C,BigTV,for 4,Manhattan,Apartment,85,Entire home/apt,10001,3,1,171,150,85,,,1
3226,26/09/2008,9,2008,Great 3 Bed Apt Tribeca / Soho,Manhattan,Apartment,,Entire home/apt,10013,3,1,0,700,,,,,,,,,1
3226,26/09/2008,9,2008,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85,Private room,10013,1,1,9,125,86,,,,,,,,1
3226,26/09/2008,9,2008,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,,Private room,10013,1,1,0,175,,,,,,,,,1
3415,02/10/2008,10,2008,Beautiful Furnished Master Bedroom,Queens,House,,Private room,11365,1,1,0,90,,,,,,,,,1
3563,10/10/2008,10,2008,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100,Private room,11220,1,1,1,40,100,,,,,,,,1
3647,14/10/2008,10,2008,Conveniently Queens with Two Rooms,Queens,Apartment,90,Entire home/apt,11373,1,1,4,89,93,,,,,,,,1
3647,14/10/2008,10,2008,Quality Cozy Studio Next to Subway,Queens,Apartment,90,Entire home/apt,11373,1,1,16,95,94,,,,,,,,1
3647,14/10/2008,10,2008,Queens Quality Convenient Apartment,Queens,Apartment,100,Entire home/apt,11373,2,1,9,99,100,,,,,,,,1
3867,29/10/2008,10,2008,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90,Entire home/apt,10002,1,1,19,149,93,,,,,,,,1
3867,29/10/2008,10,2008,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80,Entire home/apt,10038,4,1,2,499,80,,,,,,,,1
3867,29/10/2008,10,2008,Private bedroom in spacious loft!,Manhattan,Apartment,,Private room,10038,4,1,0,99,,,,,,,,,1
3867,29/10/2008,10,2008,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038,1,1,0,99,,,,,,,,,1
3867,29/10/2008,10,2008,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038,1,1,0,99,,,,,,,,,1
4177,09/11/2008,11,2008,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,90,Private room,11206,1,1,16,125,94,,,,,,,,1
4267,12/11/2008,11,2008,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85,Entire home/apt,10024,2,1,28,170,88,,,,,,,,1
4267,12/11/2008,11,2008,Airy Room on the fabulous UWS,Manhattan,Apartment,90,Private room,10024,1,1,62,120,92,,,,,,,,1
4396,19/11/2008,11,2008,Large Room, Amazing E. Village Apt,Manhattan,Apartment,85,Private room,10009,1,1,23,79,89,,,,,,,1
4488,21/11/2008,11,2008,Sunny & Bright Harlem Home,Manhattan,Apartment,95,Entire home/apt,10027,3,1,6,125,97,,,,,,,,1
4732,01/12/2008,12,2008,A home in the heart of Park Slope,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,5,110,92,,,,,,,,1
4869,07/12/2008,12,2008,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85,Private room,11238,3,1,14,89,85,,,,,,,,1
5871,31/12/2008,12,2008,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90,Entire home/apt,11213,3,1,12,180,93,,,,,,,,1
5871,31/12/2008,12,2008,Bergen's Best!,Brooklyn,Apartment,95,Entire home/apt,11213,3,1,5,180,95,,,,,,,,1
5926,02/01/2009,1,2009,Charming Central Park Hideaway,Manhattan,Apartment,80,Entire home/apt,10026,1,1,23,143,82,,,,,,,,1
5926,02/01/2009,1,2009,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85,Entire home/apt,10027,2,1,28,230,89,,,,,,,,1
5926,02/01/2009,1,2009,Beautiful Apt with Park Views,Manhattan,Apartment,85,Entire home/apt,10030,5,1,40,350,86,,,,,,,,1
